TOTAL,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"1,256,986"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"2,756"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"48,200"
 , , 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"46,500"
 8001  , , ," ACTIUNI GENERALE ECONOMICE, COMERCIALE SI DE MUNCA  ","2,236,494"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"8,831"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"51,423"
 , , 40  , TITLUL IV SUBVENTII  ,"213,225"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"3,900"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"605,684"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"1,140,281"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"10,500"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"202,650"
 8101  , , , COMBUSTIBILI SI ENERGIE  ,"177,000"
 , , 40  , TITLUL IV SUBVENTII  ,"163,000"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"14,000"
 8201  , , ," INDUSTRIA EXTRACTIVA, PRELUCRATOARE SI CONSTRUCTII  ","133,320"
 , , 30  , TITLUL III DOBANZI  ,"6,725"
 , , 40  , TITLUL IV SUBVENTII  ,"31,571"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"38,500"
 , , 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"56,524"
 8301  , , ," AGRICULTURA, SILVICULTURA, PISCICULTURA SI VANATOARE  ","6,050,449"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"362,145"
 ,, 20  , TITLUL II BUNURI SI SERVICII  ,"139,714"
 ,, 30  , TITLUL III DOBANZI  ,600
 ,, 40  , TITLUL IV SUBVENTII  ,"1,364,088"
 ,, 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"749,590"
 ,, 55  , TITLUL VII ALTE TRANSFERURI  ,"885,529"
 ,, 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"2,303,205"
 ,, 59  , TITLUL X ALTE CHELTUIELI  ,"60,719"
 ,, 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"37,389"
 ,, 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"43,870"
 ,, 80  , TITLUL XV IMPRUMUTURI  ,"100,000"
 ,, 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"3,600"
 8401  ,, , TRANSPORTURI  ,"12,979,069"
 ,, 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"22,649"
 ,, 20  , TITLUL II BUNURI SI SERVICII  ,"9,278"
 ,, 30  , TITLUL III DOBANZI  ,"91,209"
 ,, 40  , TITLUL IV SUBVENTII  ,"1,598,415"
 ,, 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"1,352,744"
 ,, 55  , TITLUL VII ALTE TRANSFERURI  ,"2,059,884"
 ,, 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"5,643,960"
 ,, 59  , TITLUL X ALTE CHELTUIELI  ,"30,402"
 ,, 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"1,798,021"
 ,, 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"3,137"
 ,, 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"369,370"
 8501  ,, , COMUNICATII  ,"197,476"
 ,, 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"7,995"
 ,, 20  , TITLUL II BUNURI SI SERVICII  ,"67,233"
 ,, 55  , TITLUL VII ALTE TRANSFERURI  ,"1,300"
 ,, 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"55,000"
 ,, 59  , TITLUL X ALTE CHELTUIELI  ,100
 ,, 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"5,348"
 ,, 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"60,500"
 8601  ,, , CERCETARE SI DEZVOLTARE IN DOMENIUL ECONOMIC  ,"101,322"
 ,, 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"28,622"
 ,, 55  , TITLUL VII ALTE TRANSFERURI  ,"72,700"
 8701  ,, , ALTE ACTIUNI ECONOMICE  ,"65,362"
 ,, 20  , TITLUL II BUNURI SI SERVICII  ,"2,268"
 ,, 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"1,000"
 ,, 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"59,985"
 ,, 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"2,109"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
