"Id","IdParinte","Sectiune","An","NumeInstitutie","DenumireIndicator","Suma"
"07","07","5001","2013","Curtea de conturi","TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE","12766"
"07","07","5001","2013","Curtea de conturi","TITLUL XII ACTIVE NEFINANCIARE","7944"
"07","07","5101","2013","Curtea de conturi","AUTORITATI PUBLICE SI ACTIUNI EXTERNE","195705"
"07","07","5101","2013","Curtea de conturi","TITLUL I CHELTUIELI DE PERSONAL","160165"
"07","07","5101","2013","Curtea de conturi","TITLUL II BUNURI SI SERVICII","14800"
"07","07","5101","2013","Curtea de conturi","TITLUL VII ALTE TRANSFERURI","30"
"07","07","5101","2013","Curtea de conturi","TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE","12766"
"07","07","5101","2013","Curtea de conturi","TITLUL XII ACTIVE NEFINANCIARE","7944"
"08","0","5001","2013","Consiliul concurentei","CHELTUIELI - BUGET DE STAT","63646"
"08","08","5001","2013","Consiliul concurentei","TITLUL I CHELTUIELI DE PERSONAL","34362"
"08","08","5001","2013","Consiliul concurentei","TITLUL II BUNURI SI SERVICII","3933"
"08","08","5001","2013","Consiliul concurentei","TITLUL VII ALTE TRANSFERURI","53"
"08","08","5001","2013","Consiliul concurentei","TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE","24600"
"08","08","5001","2013","Consiliul concurentei","TITLUL XII ACTIVE NEFINANCIARE","698"
"08","08","5101","2013","Consiliul concurentei","AUTORITATI PUBLICE SI ACTIUNI EXTERNE","63646"
"08","08","5101","2013","Consiliul concurentei","TITLUL I CHELTUIELI DE PERSONAL","34362"
"08","08","5101","2013","Consiliul concurentei","TITLUL II BUNURI SI SERVICII","3933"
"08","08","5101","2013","Consiliul concurentei","TITLUL VII ALTE TRANSFERURI","53"
"08","08","5101","2013","Consiliul concurentei","TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE","24600"
"08","08","5101","2013","Consiliul concurentei","TITLUL XII ACTIVE NEFINANCIARE","698"
"09","0","5001","2013","Avocatul poporului","CHELTUIELI - BUGET DE STAT","5623"
"09","09","5001","2013","Avocatul poporului","TITLUL I CHELTUIELI DE PERSONAL","4482"
"09","09","5001","2013","Avocatul poporului","TITLUL II BUNURI SI SERVICII","1089"
"09","09","5001","2013","Avocatul poporului","TITLUL VII ALTE TRANSFERURI","8"
"09","09","5001","2013","Avocatul poporului","TITLUL XII ACTIVE NEFINANCIARE","44"
"09","09","5101","2013","Avocatul poporului","AUTORITATI PUBLICE SI ACTIUNI EXTERNE","5623"
"09","09","5101","2013","Avocatul poporului","TITLUL I CHELTUIELI DE PERSONAL","4482"
"09","09","5101","2013","Avocatul poporului","TITLUL II BUNURI SI SERVICII","1089"
"09","09","5101","2013","Avocatul poporului","TITLUL VII ALTE TRANSFERURI","8"
"09","09","5101","2013","Avocatul poporului","TITLUL XII ACTIVE NEFINANCIARE","44"
"10","0","5001","2013","Consiliul national pentru studierea arhivelor securitatii","CHELTUIELI - BUGET DE STAT","12185"
"10","10","5001","2013","Consiliul national pentru studierea arhivelor securitatii","TITLUL I CHELTUIELI DE PERSONAL","11016"
"10","10","5001","2013","Consiliul national pentru studierea arhivelor securitatii","TITLUL II BUNURI SI SERVICII","1069"
"10","10","5001","2013","Consiliul national pentru studierea arhivelor securitatii","TITLUL XII ACTIVE NEFINANCIARE","100"
"10","10","5101","2013","Consiliul national pentru studierea arhivelor securitatii","AUTORITATI PUBLICE SI ACTIUNI EXTERNE","12185"
