idinstitutie,idparinte,sectiune,an,numeinstitutie,denumireindicator,suma
5,5,510120,2013,Curtea Constitutionala,TITLUL II BUNURI SI SERVICII,2707
5,5,510155,2013,Curtea Constitutionala,TITLUL VII ALTE TRANSFERURI,17
5,5,510170,2013,Curtea Constitutionala,CHELTUIELI DE CAPITAL,300
5,5,510171,2013,Curtea Constitutionala,TITLUL XII ACTIVE NEFINANCIARE,300
5,5,6801,2013,Curtea Constitutionala,ASIGURARI SI ASISTENTA SOCIALA,350
5,5,680101,2013,Curtea Constitutionala,CHELTUIELI CURENTE,350
5,5,680157,2013,Curtea Constitutionala,TITLUL IX ASISTENTA SOCIALA,350
6,0,5001,2013,Consiliul Legislativ,CHELTUIELI - BUGET DE STAT,5301
6,6,500101,2013,Consiliul Legislativ,CHELTUIELI CURENTE,5106
6,6,500110,2013,Consiliul Legislativ,TITLUL I CHELTUIELI DE PERSONAL,4524
6,6,500120,2013,Consiliul Legislativ,TITLUL II BUNURI SI SERVICII,552
6,6,500155,2013,Consiliul Legislativ,TITLUL VII ALTE TRANSFERURI,7
6,6,500157,2013,Consiliul Legislativ,TITLUL IX ASISTENTA SOCIALA,23
6,6,500170,2013,Consiliul Legislativ,CHELTUIELI DE CAPITAL,195
6,6,500171,2013,Consiliul Legislativ,TITLUL XII ACTIVE NEFINANCIARE,195
6,6,5101,2013,Consiliul Legislativ,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,5278
6,6,510101,2013,Consiliul Legislativ,CHELTUIELI CURENTE,5083
6,6,510110,2013,Consiliul Legislativ,TITLUL I CHELTUIELI DE PERSONAL,4524
6,6,510120,2013,Consiliul Legislativ,TITLUL II BUNURI SI SERVICII,552
6,6,510155,2013,Consiliul Legislativ,TITLUL VII ALTE TRANSFERURI,7
6,6,510170,2013,Consiliul Legislativ,CHELTUIELI DE CAPITAL,195
6,6,510171,2013,Consiliul Legislativ,TITLUL XII ACTIVE NEFINANCIARE,195
6,6,6801,2013,Consiliul Legislativ,ASIGURARI SI ASISTENTA SOCIALA,23
6,6,680101,2013,Consiliul Legislativ,CHELTUIELI CURENTE,23
6,6,680157,2013,Consiliul Legislativ,TITLUL IX ASISTENTA SOCIALA,23
7,0,5001,2013,Curtea de conturi,CHELTUIELI - BUGET DE STAT,195705
7,7,500101,2013,Curtea de conturi,CHELTUIELI CURENTE,187761
7,7,500110,2013,Curtea de conturi,TITLUL I CHELTUIELI DE PERSONAL,160165
7,7,500120,2013,Curtea de conturi,TITLUL II BUNURI SI SERVICII,14800
7,7,500155,2013,Curtea de conturi,TITLUL VII ALTE TRANSFERURI,30
7,7,500156,2013,Curtea de conturi,TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE,12766
7,7,500170,2013,Curtea de conturi,CHELTUIELI DE CAPITAL,7944
7,7,500171,2013,Curtea de conturi,TITLUL XII ACTIVE NEFINANCIARE,7944
7,7,5101,2013,Curtea de conturi,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,195705
7,7,510101,2013,Curtea de conturi,CHELTUIELI CURENTE,187761
7,7,510110,2013,Curtea de conturi,TITLUL I CHELTUIELI DE PERSONAL,160165
7,7,510120,2013,Curtea de conturi,TITLUL II BUNURI SI SERVICII,14800
7,7,510155,2013,Curtea de conturi,TITLUL VII ALTE TRANSFERURI,30
7,7,510156,2013,Curtea de conturi,TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE,12766
7,7,510170,2013,Curtea de conturi,CHELTUIELI DE CAPITAL,7944
7,7,510171,2013,Curtea de conturi,TITLUL XII ACTIVE NEFINANCIARE,7944
8,0,5001,2013,Consiliul Concurentei,CHELTUIELI - BUGET DE STAT,63646
8,8,500101,2013,Consiliul Concurentei,CHELTUIELI CURENTE,62948
8,8,500110,2013,Consiliul Concurentei,TITLUL I CHELTUIELI DE PERSONAL,34362
8,8,500120,2013,Consiliul Concurentei,TITLUL II BUNURI SI SERVICII,3933
8,8,500155,2013,Consiliul Concurentei,TITLUL VII ALTE TRANSFERURI,53
8,8,500156,2013,Consiliul Concurentei,TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE,24600
8,8,500170,2013,Consiliul Concurentei,CHELTUIELI DE CAPITAL,698
8,8,500171,2013,Consiliul Concurentei,TITLUL XII ACTIVE NEFINANCIARE,698
8,8,5101,2013,Consiliul Concurentei,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,63646
8,8,510101,2013,Consiliul Concurentei,CHELTUIELI CURENTE,62948
8,8,510110,2013,Consiliul Concurentei,TITLUL I CHELTUIELI DE PERSONAL,34362
8,8,510120,2013,Consiliul Concurentei,TITLUL II BUNURI SI SERVICII,3933
8,8,510155,2013,Consiliul Concurentei,TITLUL VII ALTE TRANSFERURI,53
8,8,510156,2013,Consiliul Concurentei,TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE,24600
8,8,510170,2013,Consiliul Concurentei,CHELTUIELI DE CAPITAL,698
8,8,510171,2013,Consiliul Concurentei,TITLUL XII ACTIVE NEFINANCIARE,698
9,0,5001,2013,Avocatul Poporului,CHELTUIELI - BUGET DE STAT,5623
9,9,500101,2013,Avocatul Poporului,CHELTUIELI CURENTE,5579
9,9,500110,2013,Avocatul Poporului,TITLUL I CHELTUIELI DE PERSONAL,4482
9,9,500120,2013,Avocatul Poporului,TITLUL II BUNURI SI SERVICII,1089
